PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Eric Snow,PHI,31,6-3,204,Michigan State,USA,1995,2,43,82,10.3,3.4,6.9,-2,2.20%,7.70%,16.30%,49.40%,32.30%,2003
Eric Williams,CLE,31,6-8,220,Providence,USA,1995,1,14,71,10,4,1.7,2.8,3.30%,11.20%,19.10%,49.30%,10.50%,2003
Erick Dampier,GSW,28,6-11,265,Mississippi State,USA,1996,1,10,74,12.3,12,0.8,-1,14.40%,22.40%,17.70%,57.30%,4.40%,2003
Erick Strickland,MIL,30,6-3,210,Nebraska,USA,Undrafted,Undrafted,Undrafted,43,5.4,1.7,2.1,4.6,2.30%,10.20%,20.90%,52.90%,24.80%,2003
Ervin Johnson,MIN,36,6-11,255,New Orleans,USA,1993,1,23,66,1.9,3.5,0.4,5.8,7.10%,16.90%,7.10%,55.10%,3.30%,2003
Etan Thomas,WAS,26,6-10,260,Syracuse,USA,2000,1,12,79,8.9,6.7,0.9,-8.1,9.30%,18.50%,17.70%,53.80%,6.60%,2003
Flip Murray,SEA,24,6-4,190,Shaw,USA,2002,2,41,82,12.4,2.5,2.5,-4,2.30%,7.90%,26.20%,49.70%,18.50%,2003
Francisco Elson,DEN,28,7-0,235,California,Netherlands,1999,2,41,62,3.5,3.3,0.5,-1,7.20%,15.50%,12.70%,49.80%,6.00%,2003
Frank Williams,NYK,24,6-3,212,Illinois,USA,2002,1,25,56,3.9,0.9,2.2,5.7,1.30%,6.20%,19.60%,47.80%,27.70%,2003
Fred Hoiberg,MIN,31,6-5,210,Iowa State,USA,1995,2,52,79,6.7,3.4,1.4,3.2,1.20%,13.70%,12.10%,61.10%,9.50%,2003
Fred Jones,IND,25,6-2,218,Oregon,USA,2002,1,14,81,4.9,1.6,2.1,1.6,1.80%,7.20%,14.10%,52.70%,20.30%,2003
Gary Payton,LAL,35,6-4,180,Oregon State,USA,1990,1,2,82,14.6,4.2,5.5,5.4,2.50%,9.20%,20.00%,52.80%,25.90%,2003
Gary Trent,MIN,29,6-8,250,Ohio,USA,1995,1,11,68,5.6,3.2,0.7,-4.6,8.40%,13.10%,18.70%,51.50%,8.10%,2003
George Lynch,NOH,33,6-8,235,North Carolina,USA,1993,1,12,78,4.8,4,1.5,-2.8,5.50%,13.20%,12.40%,47.20%,11.40%,2003
Gerald Wallace,SAC,21,6-7,215,Alabama,USA,2001,1,25,37,2,2,0.5,-4.1,9.60%,11.60%,13.80%,37.70%,9.00%,2003
Gilbert Arenas,WAS,22,6-3,191,Arizona,USA,2001,2,30,55,19.6,4.6,5,-4.6,2.50%,9.70%,26.50%,51.20%,24.40%,2003
Glen Rice,LAC,37,6-8,228,Michigan,USA,1989,1,4,18,3.7,2.3,1.3,3.8,3.50%,11.70%,16.30%,39.50%,15.10%,2003
Glenn Robinson,PHI,31,6-7,240,Purdue,USA,1994,1,1,42,16.6,4.5,1.4,-4.5,3.60%,10.80%,26.20%,51.80%,8.50%,2003
Gordan Giricek,UTA,27,6-5,210,None,Croatia,1999,2,40,73,11.3,3.1,1.7,-2.3,2.50%,8.90%,19.60%,52.10%,10.40%,2003
Greg Buckner,PHI,27,6-4,210,Clemson,USA,1998,2,53,53,3.1,1.9,0.8,-3,4.10%,10.60%,14.60%,43.90%,11.50%,2003
